         203723 function calls (199165 primitive calls) in 14.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    559/1    0.002    0.000   14.611   14.611 {built-in method builtins.exec}
        1    0.000    0.000   14.611   14.611 app.py:1(<module>)
        1    0.000    0.000    9.165    9.165 __init__.py:1281(mainloop)
        1    5.783    5.783    9.165    9.165 {method 'mainloop' of '_tkinter.tkapp' objects}
        2    0.000    0.000    6.937    3.469 app.py:56(listUpdate)
        2    0.003    0.001    6.935    3.468 app.py:129(images)
       43    0.010    0.000    6.481    0.151 request.py:229(urlretrieve)
       43    0.000    0.000    5.863    0.136 request.py:139(urlopen)
       43    0.001    0.000    5.862    0.136 request.py:507(open)
       43    0.000    0.000    5.857    0.136 request.py:535(_open)
       86    0.000    0.000    5.857    0.068 request.py:496(_call_chain)
       43    0.000    0.000    5.857    0.136 request.py:1358(https_open)
       43    0.001    0.000    5.856    0.136 request.py:1275(do_open)
       43    0.000    0.000    3.781    0.088 client.py:1241(request)
       43    0.001    0.000    3.781    0.088 client.py:1246(_send_request)
       43    0.000    0.000    3.778    0.088 client.py:1228(endheaders)
       43    0.000    0.000    3.778    0.088 client.py:1017(_send_output)
       43    0.000    0.000    3.777    0.088 client.py:958(send)
       43    0.001    0.000    3.773    0.088 client.py:1403(connect)
       43    0.000    0.000    3.391    0.079 ssl.py:410(wrap_socket)
       43    0.002    0.000    3.391    0.079 ssl.py:813(_create)
       43    0.000    0.000    3.383    0.079 ssl.py:1132(do_handshake)
        4    0.000    0.000    3.383    0.846 __init__.py:1700(__call__)
       43    3.382    0.079    3.382    0.079 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    3.352    3.352 app.py:61(delOne)
       43    0.001    0.000    1.471    0.034 client.py:1367(__init__)
       43    0.000    0.000    1.469    0.034 ssl.py:562(create_default_context)
      480    1.465    0.003    1.465    0.003 {method 'call' of '_tkinter.tkapp' objects}
       43    0.000    0.000    1.463    0.034 ssl.py:485(load_default_certs)
       86    0.006    0.000    1.454    0.017 ssl.py:471(_load_windows_store_certs)
        1    0.000    0.000    1.148    1.148 themed_style.py:17(__init__)
        1    0.000    0.000    1.148    1.148 _widget.py:48(__init__)
        1    0.000    0.000    1.148    1.148 _widget.py:65(_load_themes)
     1072    0.003    0.000    1.065    0.001 socket.py:575(readinto)
     1072    0.002    0.000    1.059    0.001 ssl.py:1060(recv_into)
     1072    0.001    0.000    1.057    0.001 ssl.py:920(read)
