         167619 function calls (163127 primitive calls) in 13.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    559/1    0.002    0.000   13.252   13.252 {built-in method builtins.exec}
        1    0.000    0.000   13.252   13.252 app.py:1(<module>)
        1    0.000    0.000    6.643    6.643 __init__.py:1281(mainloop)
        1    5.004    5.004    6.643    6.643 {method 'mainloop' of '_tkinter.tkapp' objects}
        2    0.000    0.000    4.745    2.372 app.py:56(listUpdate)
        2    0.001    0.001    4.744    2.372 app.py:129(images)
       21    0.005    0.000    4.490    0.214 request.py:229(urlretrieve)
       21    0.000    0.000    3.682    0.175 request.py:139(urlopen)
       21    0.000    0.000    3.680    0.175 request.py:507(open)
       21    0.000    0.000    3.677    0.175 request.py:535(_open)
       42    0.000    0.000    3.677    0.088 request.py:496(_call_chain)
       21    0.000    0.000    3.677    0.175 request.py:1358(https_open)
       21    0.001    0.000    3.677    0.175 request.py:1275(do_open)
      261    3.049    0.012    3.049    0.012 {method 'call' of '_tkinter.tkapp' objects}
       21    0.000    0.000    2.228    0.106 client.py:1241(request)
       21    0.000    0.000    2.228    0.106 client.py:1246(_send_request)
       21    0.000    0.000    2.227    0.106 client.py:1228(endheaders)
       21    0.000    0.000    2.226    0.106 client.py:1017(_send_output)
       21    0.000    0.000    2.226    0.106 client.py:958(send)
       21    0.000    0.000    2.224    0.106 client.py:1403(connect)
       21    0.000    0.000    1.853    0.088 ssl.py:410(wrap_socket)
       21    0.001    0.000    1.852    0.088 ssl.py:813(_create)
       21    0.000    0.000    1.849    0.088 ssl.py:1132(do_handshake)
       21    1.848    0.088    1.848    0.088 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        4    0.000    0.000    1.640    0.410 __init__.py:1700(__call__)
        1    0.000    0.000    1.600    1.600 app.py:81(deleteAll)
        1    0.000    0.000    1.582    1.582 messagebox.py:102(askyesno)
        1    0.000    0.000    1.582    1.582 messagebox.py:67(_show)
        1    0.000    0.000    1.582    1.582 commondialog.py:29(show)
      524    0.002    0.000    1.426    0.003 socket.py:575(readinto)
      524    0.001    0.000    1.424    0.003 ssl.py:1060(recv_into)
      524    0.001    0.000    1.423    0.003 ssl.py:920(read)
      524    1.422    0.003    1.422    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.162    1.162 themed_style.py:17(__init__)
        1    0.000    0.000    1.162    1.162 _widget.py:48(__init__)
        1    0.000    0.000    1.162    1.162 _widget.py:65(_load_themes)
