WITHOUT ANY DATABASE

         122704 function calls (118559 primitive calls) in 7.704 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    541/1    0.002    0.000    7.705    7.705 {built-in method builtins.exec}
        1    0.000    0.000    7.705    7.705 app.py:1(<module>)
        1    0.000    0.000    5.872    5.872 __init__.py:1281(mainloop)
        1    5.833    5.833    5.872    5.872 {method 'mainloop' of '_tkinter.tkapp' objects}
       45    1.425    0.032    1.425    0.032 {method 'call' of '_tkinter.tkapp' objects}
        1    0.000    0.000    1.180    1.180 themed_style.py:17(__init__)
        1    0.000    0.000    1.180    1.180 _widget.py:48(__init__)
        1    0.000    0.000    1.180    1.180 _widget.py:65(_load_themes)
   260/10    0.002    0.000    0.327    0.033 <frozen importlib._bootstrap>:978(_find_and_load)
   260/10    0.001    0.000    0.327    0.033 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   250/10    0.001    0.000    0.323    0.032 <frozen importlib._bootstrap>:663(_load_unlocked)
   206/10    0.001    0.000    0.323    0.032 <frozen importlib._bootstrap_external>:722(exec_module)
   363/10    0.000    0.000    0.319    0.032 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   342/12    0.000    0.000    0.223    0.019 {built-in method builtins.__import__}
 1002/125    0.001    0.000    0.220    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        2    0.000    0.000    0.181    0.091 __init__.py:5(<module>)
        1    0.000    0.000    0.180    0.180 themed_tk.py:5(<module>)
        1    0.000    0.000    0.179    0.179 _widget.py:5(<module>)
        1    0.000    0.000    0.177    0.177 ImageEnhance.py:21(<module>)
        1    0.000    0.000    0.175    0.175 ImageFilter.py:17(<module>)
        1    0.000    0.000    0.174    0.174 __init__.py:106(<module>)
        1    0.000    0.000    0.160    0.160 _widget.py:80(set_theme)
      206    0.002    0.000    0.117    0.001 <frozen importlib._bootstrap_external>:793(get_code)
        8    0.000    0.000    0.113    0.014 __init__.py:1(<module>)
        1    0.000    0.000    0.089    0.089 __init__.py:2003(__init__)
        1    0.088    0.088    0.088    0.088 {built-in method _tkinter.create}
      206    0.066    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.076    0.076 extract.py:1(<module>)
        1    0.000    0.000    0.069    0.069 request.py:68(<module>)
      255    0.002    0.000    0.063    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      238    0.000    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      238    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      481    0.004    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
  250/248    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      998    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     1002    0.053    0.000    0.053    0.000 {built-in method nt.stat}
    27/26    0.000    0.000    0.047    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
    27/26    0.045    0.002    0.047    0.002 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.040    0.020 __init__.py:1700(__call__)
        1    0.000    0.000    0.040    0.040 __init__.py:2058(destroy)
        1    0.000    0.000    0.038    0.038 __init__.py:1887(wm_iconphoto)
        1    0.000    0.000    0.036    0.036 client.py:69(<module>)
      317    0.001    0.000    0.030    0.000 overrides.py:154(decorator)
        1    0.000    0.000    0.026    0.026 ImageTk.py:28(<module>)
        1    0.000    0.000    0.025    0.025 Image.py:27(<module>)
        1    0.000    0.000    0.023    0.023 parser.py:5(<module>)
      206    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.022    0.022 feedparser.py:20(<module>)
      206    0.022    0.000    0.022    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.020    0.010 __init__.py:45(<module>)
        1    0.000    0.000    0.020    0.020 _policybase.py:4(<module>)
